2018-03-23 10:40:39,468 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.joyread:JoyRead:0.0.1-SNAPSHOT @ D:\JoyRead-master\Background\pom.xml.
2018-03-23 10:40:39,468 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.joyread:JoyRead:0.0.1-SNAPSHOT @ D:\JoyRead-master\Background\pom.xml.
2018-03-23 10:40:44,197 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 10:40:44,208 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2018-03-23 10:40:44,242 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 10:40:44,250 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-23 10:40:45,507 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.joyread:JoyRead:0.0.1-SNAPSHOT @ D:\JoyRead-master\Background\pom.xml.
2018-03-23 10:40:47,341 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 10:40:47,358 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2018-03-23 10:40:47,380 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 10:40:47,388 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
